pd,w,pb,P.I,O,k,n,D60,Ya,Suction
1.71,17.7,31.977,24.0,0.241,9.152e-11,0.345,0.13,64.0,1500.0
1.85,14.9,29.415,24.0,0.318,3.978e-11,0.291,0.13,27.0,100.0
1.7929714966914743,16.305345260102957,30.71463885575608,21.0060035763024,0.32125877161763006,7.186260657556777e-11,0.29935060227017696,0.11533552772066481,26.796326773898123,100.0
1.745274102802974,15.717185080716458,29.17426104918466,23.36844828367016,0.3134963054373099,4.065127700431899e-11,0.32784000705163907,0.1269066854710375,34.78518649104427,100.0
1.8260720601575988,13.521441203151973,26.52724624397449,18.772935459542225,0.24970738285988747,1.2124795737383818e-10,0.2710500884220638,0.06860720601575987,47.214412031519714,778.5587968480284
1.6566645402537534,14.933482182237261,26.38087888267541,17.46562472433918,0.24944834286811873,9.637209671127788e-10,0.33421811115725664,0.09799489660900822,28.333545974624656,877.6785451751597
1.6658458090760706,16.141541909239294,28.552922904538036,19.42347826792954,0.2746709099619149,2.3028825394812937e-10,0.3404303899836778,0.09933258633148662,30.0,735.9031820654877
1.6684934245206895,15.616447484022984,27.731526565489645,22.65756619408045,0.30486315974436773,3.640404033145055e-10,0.3529315798721838,0.1069868490413791,28.46578993609194,346.57899360919396
1.6034995758178376,18.163750353485135,30.726292449557512,12.487517674256761,0.3248751767425676,5.463838979864725e-11,0.3334502686487027,0.06246252474395947,66.24964651486482,607.4950512081075
1.60616494120279,17.66128882293723,29.962866117146994,10.432807946012625,0.29161829706573233,1.777322727236148e-10,0.32185128530629026,0.06354844708251081,61.37989998881434,500.0
1.613957256094125,17.78731158536898,30.320699225550502,9.3,0.2948215975597886,1.474922378079079e-10,0.31303644512341927,0.058,60.19347561069316,449.2463414759088
1.6069301596079262,20.192095211762215,33.92757870654678,14.3,0.3284951890256193,1.8276285635286645e-10,0.34074278353842896,0.065,48.376409972823865,294.06104736022724
1.613764102564637,18.811794871768146,31.970389743557142,21.817435897622985,0.31881435897206045,5.146369230963266e-10,0.3690225641034194,0.09258461538782259,30.88205128231855,100.0
1.784825019683205,14.300744291870606,27.30191011115791,11.712509841602404,0.2660148858374121,1.8354291711715668e-10,0.2535800472396915,0.06137751377824337,78.81235237596395,982.5019683204807
1.6536267436702503,15.88292447792119,27.911226543623723,16.0589706800715,0.23236796534838727,2.7922577477130904e-10,0.32970947578996346,0.07678691692831417,29.455988449462424,1090.668591756263
1.6596633317958553,18.35437668665388,32.08925077009525,14.937706838864205,0.3315235667742902,2.214611781794641e-10,0.31780636806577167,0.06404040018449737,31.483166589792766,100.0
1.7095733974942982,17.419811857631146,31.44211699872453,12.612220519361394,0.2847194487015965,9.550655306139529e-11,0.28825307372437275,0.06154880769931578,103.38394225513166,1204.2660250570184
1.6295902618080822,19.57002034317456,33.483124601975284,19.899635149451466,0.30911359012914874,2.772478772326066e-10,0.3569870201660881,0.10252332832106653,34.927383690043044,619.5537767532288
1.61575643106108,19.42772560806059,32.915980509494815,9.3,0.3162772560806059,1.383109432222917e-10,0.31227725608060586,0.058,68.94957126259467,947.4785631297335
1.6574635099600077,18.846250691781652,32.828568743102785,16.979214512837387,0.2801635653025398,1.1276384615435326e-10,0.33258228417236546,0.09561247924655046,66.86562672945414,1261.1977725454894
1.5926069783530572,19.297191130451463,32.227718889012166,18.253741491233846,0.29904542453320193,1.3816572074758398e-10,0.36126201443129524,0.06818850120260794,36.377002405215876,681.1498797392062
1.722213594064351,14.922601861168546,27.27270281061564,10.226213531188293,0.2732636883802997,1.5725902917504937e-10,0.27148660085515164,0.059296698943663614,54.99844693158322,425.90291750493657
1.605895291823265,19.61570622651028,33.10303579888174,21.936647861857317,0.32350681710514145,3.8210470817673516e-10,0.37285129962416447,0.09462824906041116,33.515178994408714,469.4237359061673
1.5915604783484019,19.842949561215917,33.12935189124055,18.86678522514416,0.3378976391166797,3.424380653862034e-10,0.36405368695151985,0.06868289131060014,39.80029125307895,205.3686951519898
1.840199798188052,13.380968719148058,26.479349547230967,22.284964682909095,0.28859939456415595,11368234101.859705,0.2841398587316364,0.10059939456415595,30.43007063418181,100.0
1.5995440532003227,19.813678403990323,33.22067532103103,21.884041862011287,0.3197869381878678,1.7531775759268841e-10,0.3754866298919387,0.0937264319201935,36.04559467996775,500.0
1.5975829024496673,17.094677167036668,28.91839019972672,20.97338583518335,0.31709772757253296,3.09952481143755e-09,0.3709424071269999,0.07811518574600027,32.00436454336683,289.35433407333954
1.7681861245662605,16.620912552226937,30.79878296207756,23.01259115855832,0.3230781026131287,8.187747066283658e-11,0.3169547466893242,0.11307299128957113,30.667518553926257,212.84672473619244
1.716405514986861,17.379724250656956,31.53630056890397,11.654026757671367,0.3259182076292702,5.581798866432167e-11,0.2811278588562767,0.06952992697634955,34.16013787467152,100.0
1.681195081879839,15.966537707364509,28.519080396434312,23.972114756137092,0.3105777377357902,184839330.74842334,0.35537059020995143,0.12952196724806442,30.031868850129037,496.8131149870961
1.59452605721672,19.73400491288232,33.025740617507935,14.3,0.2916220354485144,6.188448463748182e-10,0.346189577113312,0.065,46.11374626798719,779.2654850495197
1.7772355453524926,15.558815154916918,29.40065998612482,14.3,0.29597037887292293,6.230450039144605e-11,0.27172637428154456,0.065,32.482369690166166,348.2369690166166
1.5756442394956398,19.246281624657605,31.82025301359473,9.3,0.3321996724090921,4.67372923599314e-10,0.32917243221295206,0.058,31.430128011208,100.0
1.6868635257468876,18.00077416529046,32.028594337584444,23.190223401141065,0.26274828579792564,1.5780137144031637e-10,0.3491645653655602,0.11611811544813258,55.90223401141066,1176.0893604564264
1.6636766556701943,18.58455049484125,32.57846777092281,14.3,0.32243351814417914,1.1149424810742607e-10,0.3185293377319222,0.065,44.440695257494426,226.46688659611095
1.5938507389089613,16.604264602601102,28.036349894653124,20.5,0.3222724982442187,2.9265936041390015e-09,0.36965757213511485,0.07,26.80213230130055,100.0
1.7577303152172454,15.753911402182519,29.362796590882805,16.01984057607281,0.31033350369578927,5.629747122925332e-11,0.28759572836955205,0.07652470489120955,30.0,259.572836955209
1.6637582592192213,18.296702932932885,32.04439531701698,20.5,0.26834065279279196,1.311402056804786e-10,0.3424966963123114,0.07,31.40659413413423,1140.6594134134232
1.6823448488298842,15.117930290954043,27.114468045666,15.02690313726419,0.2978275755850578,3.3737531442777774e-10,0.3129931215054018,0.06558621220747113,32.041424984251634,146.89697659768964
1.5722595687200729,20.053128033195264,33.08956411163773,14.475116575805648,0.2852824460900091,7.659877086332804e-10,0.3557740431279927,0.06514122304500455,51.26564016597632,974.5798518991803
1.620617305370167,19.733024102320414,33.43598716809721,9.3,0.31860878705911555,2.516151529989479e-10,0.31023764521767905,0.057999999999999996,94.37038322210009,1314.4290792817712
1.6278040552140567,18.174831032747644,31.065405349725282,22.47761827707665,0.32187415516373824,3.039843769671709e-10,0.3677440875768373,0.1039020276070283,34.34966206549529,500.0
1.6164986497016633,18.8151215268503,32.02591811214292,22.30184510530671,0.29970297065634066,6.382353687438185e-10,0.37287263697791084,0.11862061153040579,33.82493248508317,100.0
1.5980015391341236,18.5,31.161030013115404,20.406918058573492,0.2949331281154502,9.338531735908513e-10,0.3716671797113745,0.11240123130729875,34.733282028862554,197.77093718167367
1.5527073133965763,20.459390299051353,33.31945000753702,9.976828349144082,0.3437951344516405,4.91941402383167e-10,0.3421658507172611,0.058947559688801714,34.707313396576325,221.82910284593453
1.635890417371241,17.913276897061877,30.87309770859748,22.203160497251993,0.2879662786673004,6.697375897889736e-10,0.3638429865074318,0.12119915345592813,37.17808347424817,148.89359191151038
1.6290930332473665,18.67563248654398,31.973710318669983,11.676021915227821,0.25197080625140245,2.1557688133887043e-10,0.3177578825801752,0.06054573776631553,46.36434441578881,893.9275930701866
1.6800000000000002,16.080374964736283,28.695029940756957,23.437375246846024,0.31031107173083183,3.820550819635564e-10,0.353282560716059,0.12724428692332748,33.82737927315632,538.2737927315632
1.7682503292024871,13.884411377408838,26.31107187246957,21.97719910465468,0.2423382933886742,5.829491480474601e-10,0.3097189491728448,0.09532341322265162,40.29269159798355,922.0568870441937
1.7370864971212383,13.878047398146546,25.828949714624002,23.68598913417791,0.25501061964138705,7.857915624508523e-10,0.3327086497121238,0.1278958034764499,70.32372254208464,500.0
1.6968973211327156,17.69446429281482,31.688885274845255,9.3,0.2931689732113271,1.0898510286442793e-10,0.27773415191293216,0.058,127.46540183009263,1331.026788672842
1.5764465139911983,17.768279007731046,29.559750641309925,13.272092875550117,0.33004837023193145,1.2065517758490037e-10,0.34887069593149134,0.06356093002577017,30.0,100.0
1.7425601611924033,16.523676453767127,30.443347311553552,12.095507964300552,0.2907552139700083,8.214424279751983e-11,0.2704542774937735,0.060995187104607745,93.78409134236188,624.799462691989
1.649217014251039,16.872706999813285,29.498626719073897,18.835345859730175,0.2885078257265555,1.6568395167354173e-09,0.34388589716846363,0.09539149287448057,29.727069998132862,845.4139996265726
1.6969531128737125,15.514843524797522,28.041616596949808,15.801561425957411,0.28374219841365855,2.5868285757514216e-10,0.31027343801969803,0.06621093663383662,28.937498614138594,439.06225747425424
1.7569355766844175,16.20741731294281,30.167914350726555,11.02214360756348,0.2920010833126495,7.240537798219651e-11,0.2595289617198426,0.05984515386524659,101.93016012117002,576.8814110519411
1.5766768208615944,16.78247022676448,28.032497918830494,22.388258117873242,0.31798476870760856,2.84633897043932e-09,0.38935059546471035,0.11919966780018154,26.664635827681135,100.0
1.5503564034112713,21.665198906190035,35.03090964256414,9.3,0.34890880102888916,4.078139206663172e-10,0.3400985285502096,0.058,52.21384204676286,1094.8637606602233
1.6382081964703323,16.619623023603594,28.860345688116542,11.306819953227674,0.2801791803529668,4.53977154896671e-10,0.31167573906020485,0.060150164235601086,30.0,261.26231767008096
1.6464576736806704,17.793730210420115,30.961767577653653,20.5,0.2869373021042011,1.432783380561799e-10,0.3494169305277318,0.07,60.704074315293866,764.5767368067043
1.8224904152943806,15.340153355289914,29.747865974937994,23.037164535303315,0.29544214054139195,4.575508179806056e-11,0.2956766293999553,0.11349424917662829,29.200766776449562,485.1341858786737
1.698362876688518,16.167107002659694,29.06133191173631,17.734063474208728,0.2796548493245928,1.5593451506754072e-10,0.3175382937883504,0.0993096986491856,42.78762556283933,500.0
1.6611398693547408,18.70251727189164,32.71625508744407,19.082379096758526,0.297670625553036,8.506175456045026e-11,0.33734196080642226,0.06848112046081271,64.75943976959366,1000.0
1.5950131746917398,19.327042077219666,32.43350446800277,12.092622172625733,0.3244960475924781,9.922379054282826e-10,0.3329631108631287,0.060992095184956144,59.27832558724049,775.5928611282894
1.6102847953092212,20.19936752173046,34.0619466895669,24.0,0.307,3.767658389699277e-10,0.3830443094964534,0.13,39.485760234538944,961.6298021155981
1.7530724304555445,16.40782708633367,30.404856288372628,13.010855546939213,0.30381317366727123,5.6802992375035737e-11,0.27233132638811963,0.061975916657434876,39.30122220991316,232.53055524782903
1.59263850248242,16.736697864949587,28.219879415097857,20.5,0.3247871658391934,3.2419676680687945e-09,0.37004991986105223,0.07,31.528796722867085,142.1283416080659
1.5940349024537017,19.399127438657462,32.4993455789931,17.519848458024292,0.33978952926388956,3.963598621782432e-10,0.3568800459405856,0.06680698049074033,29.79825487731492,100.0
1.7124451818248048,17.36827466647239,31.294287072511363,14.3,0.31669151757275515,7.71559353693826e-11,0.29860562605791274,0.065,60.8501442403932,500.0
1.7357985831708236,13.975674561978131,25.951804980536558,10.235622755804574,0.2648476422237786,4.43030789536179e-10,0.2650245295264776,0.05900245295264776,57.243254380218666,466.58490157840805
1.6438714303747683,16.412357109795913,28.610882123471242,14.044642932282013,0.2375749989480518,1.2434259559626636e-10,0.32432785675213355,0.06464250010519482,30.357499894805184,974.4642932282012
1.7166847910228593,15.291726651130059,27.87753266891193,9.3,0.26936473168177716,1.5666739164091436e-10,0.29534841976120385,0.060591182920444284,48.89493034095307,685.0844943174488
1.6759790300462776,15.893216257315904,28.206820977422748,19.010699862869206,0.3002898558782495,3.8300079655948045e-10,0.3318433551925956,0.06879895150231388,61.11224111712268,403.91612018511006
1.6327044677393117,17.90901489246437,30.875808714989915,9.3,0.2883647766130344,1.5685659790346195e-10,0.34352835080448374,0.06181552123625303,45.46746828105674,772.5372311609303
1.6103289325232892,18.98658967405052,32.18324468331369,20.508855875627017,0.33478998923513076,3.7909154992728416e-10,0.36292409249462554,0.07015181501074885,29.103740257345045,101.01210007165898
1.588349306185926,19.12525492339575,31.91042336551067,12.989335272433847,0.28368933527243384,7.107143676938032e-10,0.3418448209422855,0.0631650693814074,46.23307519870892,764.0803490380921
1.8035668174222503,15.496998061713924,29.739368946864566,21.678340871112514,0.28284344747684664,3.868550355352447e-11,0.2943166558984107,0.09020012921907168,35.623305335867805,365.33247187285554
1.5934908487101271,19.19816974202539,32.203161439667845,24.0,0.30895274538696194,1.3715327598998175e-09,0.38960366051594925,0.13,35.44359409708886,707.0881919557129
1.6550788720141427,18.90466857564172,32.81134998127425,16.57659337658457,0.2992807519905715,1.2003469559127865e-10,0.33078107071660573,0.06683596240047143,33.73438496018857,614.069472131999
1.6556652980281978,16.136335834740947,28.358234008337075,14.910593231928008,0.2351330596056396,9.657498736700566e-11,0.3236294775586887,0.06909160413147634,32.51791023475467,968.5261220655666
1.7274127314143093,14.376565686480863,26.516066191348585,24.0,0.2587656568648086,7.06341738454659e-10,0.3378775665769551,0.13,63.706365707154745,500.0
1.6679491217686453,17.886892792139353,31.47659454904688,20.56584494443937,0.2557178073809741,4.275719295457727e-10,0.34593446396069677,0.11317964870745813,57.6923682652968,1266.3840098258072
1.6082965258778619,17.71072581793898,29.988583948209985,17.267980755534296,0.28978706573473273,5.584598816008629e-10,0.35217034741221376,0.06739353286736638,39.55362908969489,569.1640838740539
1.6413515990498604,17.61035003958915,30.51174424798205,24.0,0.29876133969912244,6.169827955187279e-10,0.3708152203642202,0.13,32.57656006334265,242.34399366573558
1.8506008008504022,14.779839829919588,29.201054817171826,24.0,0.31733911906455775,4.3638343061282e-11,0.2907596796598391,0.13,27.0,95.79439404718562
1.5367342858572879,19.055578583226243,30.838576949882317,9.3,0.30905071439296583,1.3056304309498137e-09,0.34613792851065267,0.058,35.14807138924586,432.6571414271219
1.5703552202387767,20.06856851165271,33.08386891747334,14.644563631613169,0.28599461666857406,8.72458444822087e-10,0.3573853589312282,0.067308931552047,51.076427379181204,968.0301785101185
1.5772744354223471,18.308270997273432,30.444925303321533,17.44736767302866,0.3303627822888265,2.6507488348949783e-09,0.36328007231609216,0.06672932250681643,26.727443542234703,100.0
1.6048267413556367,20.193811690175995,34.00759887966545,14.3,0.3368688134440146,1.4686800697291138e-10,0.34206930345774533,0.065,37.5371368742984,138.61393084509274
1.6740987684489117,18.493102792165253,32.54438014856547,14.3,0.33407522496982667,7.897611179095833e-11,0.31419983416410924,0.065,72.60971100900039,500.0
1.6230103284527277,18.567132409970863,31.705490538185572,17.64671927186175,0.2674671927186175,2.3184730905409836e-10,0.3575467795805084,0.10008657301145381,35.397934309454435,1269.8967154727218
1.7678253100365136,13.14845941371193,24.97094731112857,15.282021984097252,0.2453450479131835,3.193099312288844e-10,0.2789880326928991,0.06579195321298166,37.782531003651364,1278.2531003651366
1.5887973340449344,17.32990002668504,29.132790056038576,21.269766728931753,0.32086246600843576,2.947808549672021e-09,0.37587973340449343,0.08319600106740145,28.539533457863502,100.0
1.6200637467252466,19.32777803827689,32.87565971848692,10.437977514316344,0.2427741343634805,2.0196900649155646e-10,0.31639344185426493,0.06357376741705964,42.32240309044151,961.2932818259748
1.619299281185998,18.10311430584001,30.89766144611338,16.592774630189847,0.27274525158490065,8.16359833330919e-10,0.34701557152920004,0.09371971247439925,50.39489217789972,996.1071176999895
1.67,18.368123850011475,32.344766829519166,16.411839350355727,0.30586885349896725,1.0954127783722764e-10,0.324174862001377,0.06670309625028688,40.262293002065505,406.55732505163775
1.6676904529733787,18.398946142075086,32.33419094053242,9.3,0.2840316157377474,1.2512171109479866e-10,0.2902755201542662,0.058,114.17343953720132,1412.0746640955629
1.6097545624081482,15.85913250197835,26.991508645782755,24.0,0.3038447500282621,3.032300162415954e-09,0.3835559375353277,0.13,26.45776249858689,202.996562182051
1.782431242936604,12.970297033926412,24.895570961896357,13.353905367075491,0.24035203531145272,2.8894114335653835e-10,0.2639185918075661,0.06367546751390568,43.78437853169804,1310.7810734150983
1.5979407893127704,20.479407893127703,34.32339736243505,20.074429791305864,0.2952449560813491,4.1483837929022693e-10,0.3848721489565293,0.1255383768443357,40.823684274891875,1465.6798218795054
1.6290805703413336,18.463677718634667,31.706412911775896,22.238369353781273,0.29563222813653345,6.293089848015962e-10,0.3675584813699196,0.11819525855626627,32.91033155903996,100.0
1.6116584965894956,19.979391343788876,33.33687908867312,10.93675886766956,0.33417509924961747,3.4360638150730714e-10,0.3235383403819479,0.06029146241473739,34.0,836.3241132330439
1.8032402957298268,13.263410350543934,25.742025229577884,16.440514476321976,0.2540950708307631,2.577737413075481e-10,0.2715167898874278,0.07934365370731222,37.13126925853756,1191.0597663040446
1.5848336138163697,21.157210067957315,35.105742503744935,16.568470770021108,0.3206497475652674,2.9159233849272276e-10,0.3591949586633443,0.09360067315928705,32.922353114305814,545.0084144910882
1.677444695687933,15.23321895605687,27.22709002071437,14.54786451827049,0.29935774260368936,4.0061546306956235e-10,0.31314645562213617,0.06666094780284348,26.974446956879333,100.0
1.8183284379999713,14.45014686000086,28.04901788740108,20.5,0.2504248924666606,4.8745358240005345e-11,0.28142782966667784,0.07,46.388072999995224,740.7951333336518
1.7345787801699069,16.872282931067907,30.999106099150467,14.3,0.31615756033981385,5.7909474182781535e-11,0.288349195259707,0.065,30.542121983009306,352.9902587376762
1.7615210519324849,13.780941544547748,25.888306403390168,15.280941544547748,0.2516634214371334,3.287556581219424e-10,0.2813469886808277,0.06579108189076432,38.259619840318514,1278.4970705859926
1.7693518719983836,15.99282352004445,30.057689187250347,10.631016000202042,0.30278470560133347,5.3593547695516315e-11,0.253712940801778,0.05986342240028286,92.37272799656529,393.5187199838366
1.6744558813522916,15.777205932385414,28.023139771424894,21.617555190837237,0.28995790444928904,5.465925035723186e-10,0.34428437563791403,0.08915808898578122,58.50514660853128,372.2794067614586
1.6176742540306652,18.70931713724013,31.800021230044184,16.74914662996361,0.3079736828942309,4.4840257428222366e-10,0.3480398294927235,0.08141180731418915,31.485063940228695,453.48508061330455
1.718786082535129,15.874896907042487,28.99055850588634,9.3,0.2878786082535129,2.5866349979914363e-10,0.26823453605637315,0.058,77.83440725347135,325.1030929575122
1.624354270084415,17.377120656454572,29.770865889964966,13.01771350422075,0.26451841859954617,1.5083950682676672e-10,0.3273597740856495,0.06320479890590905,30.5129145983117,769.1884307597347
1.6294590766673083,16.432455399961515,28.38246389794728,21.16213536671156,0.26878419719930735,4.256672312808154e-10,0.36,0.08135089200076966,51.324553999615176,689.1815333461609
1.7594158712049361,15.72763722960146,29.338648566176417,17.111900352229426,0.28221795941650824,9.659677202798712e-11,0.2922785500592961,0.08384263122627965,32.84045346299818,500.0
1.6698591746448006,17.367806681446854,30.592237531291136,12.629980348685727,0.31931790960395434,5.408692971870892e-10,0.30704224760655985,0.06266197248816002,32.33802751183998,233.60157210514188
1.7455510326797583,16.627472197083428,30.68103137093962,10.624960281547757,0.3075145948717871,6.296491459426493e-11,0.26372934861738323,0.05985494439416686,105.7252780291657,500.0
1.7202982958529587,16.090811896671593,29.3386480995521,22.483649840914218,0.31937709324272184,1.8965512861997043e-11,0.3340023922773964,0.11983889068653857,34.218376206656814,100.0
1.774293112649267,15.863053924306664,29.90951719180715,9.3,0.2967719167132133,5.727079231216306e-11,0.24444580886459993,0.058,108.39631606558012,467.3892151386673
1.7839047651886297,15.52428556651166,29.474923598371106,10.276191297157443,0.2906809495896647,5.994676456797874e-11,0.24610000344806124,0.059366667816020416,99.18570098604945,500.0
1.64917727149068,19.221390941242312,33.34760639009944,14.40201833515565,0.3441937260608666,8.518603306898739e-11,0.3250366379217429,0.0660695470621157,79.3418171925442,516.4545701863954
1.6955944154170641,16.166386501093086,28.87145630837978,14.631747289127702,0.2764097870665394,2.4142189636050143e-10,0.3028769144329834,0.08411468059980914,52.745922055608574,681.3519486097857
1.6417034963406318,17.545660849136294,30.348653999336307,11.906468521289497,0.3104889510978104,2.3280424088069191e-10,0.3148296503659368,0.061649055929805296,47.58437071691032,530.8356661678905
1.5874356387007402,19.917159887526882,32.94767862665287,16.138130999653676,0.32910105371286136,3.059708103752324e-10,0.3554375630666946,0.06648236370939814,70.0,500.0
1.57294342822828,20.46069049048834,33.698715445042566,20.877516656658166,0.3333034524524417,2.109498970371247e-10,0.38008772864863705,0.07647171411413997,38.92138098097667,500.0
1.8108626113496054,13.279553406448901,25.784870138539343,22.300318995393646,0.24853994061354384,7.489251388593821e-11,0.29548562314417326,0.10086261134960534,34.85623144173245,757.1884279133777
1.6864932719039638,18.170134561920726,32.322548903011736,21.94316129159683,0.272146414727248,8.338667207877148e-11,0.34206165898799545,0.09473990785594572,64.0,1206.1658987995474
1.6336068435614641,16.771281426046265,29.00872730657506,10.09914455481698,0.2889504190139502,4.602423619538422e-10,0.30871281426046265,0.05911880237674378,30.479486732890187,100.0
1.6637520519051352,16.252569113287276,28.557315485006765,21.138050756949887,0.2841044060555991,1.9640007556133225e-10,0.34669208421218806,0.08093801297628377,51.53099351185812,414.31889835244385
1.6996529451763416,14.520129179772187,26.376827337868797,20.47848260093318,0.28916311576711945,4.543539767614936e-10,0.32805552877178534,0.06998264725881709,69.8715897152464,498.6117807053664
1.65516033501447,16.31032067002894,28.652334968300973,14.619940770897133,0.23410320670028942,4.9351038915353595e-11,0.32222594974782953,0.0652580167507235,30.258016750723492,1025.8016750723493
1.7498945473445195,13.704499313300504,25.730648747245244,9.3,0.259044993133005,1.5798453361052953e-10,0.25504499313300505,0.058,60.007030177032036,500.3515088516018
1.6641217749728092,18.020608874864045,31.65293663425497,9.3,0.2882365324918428,1.4722811154731185e-10,0.3477189888574033,0.06355737875951675,50.60887486404639,1103.044374320232
1.666172092888277,15.531162844689156,27.534311715508153,18.372976545767354,0.2487330240926819,8.738191470575803e-10,0.3615311628446891,0.10511860377380124,28.148372133516865,1308.6046444138556
1.6947123441654661,15.205020777937833,27.445426033720906,20.5,0.28988127597242225,3.888248879393304e-10,0.3301150623338135,0.07,68.94246883309324,588.1275972422292
1.6425440703573655,19.17176573765748,33.070399295934706,14.985434856847931,0.29128532936996393,1.187967250045853e-10,0.32905587117537727,0.08584702787027557,67.67941434414371,1193.3821379880246
1.6476101239297507,17.18387990930276,29.86549186254638,12.275632745609428,0.30871696282107475,2.4651500017193414e-10,0.31423898760702496,0.0621658858438532,44.40955838775892,464.386105790303
1.7554064317671525,15.773780704698542,29.439238994404995,12.915254530228607,0.2981809065995841,1.3934552727131617e-10,0.2700366677854463,0.07570736912765032,94.09546700207949,500.0
1.7296252611979144,16.802973335136283,30.67304459660464,17.656333696714853,0.2862028504587343,7.553349059687508e-11,0.30468349913661996,0.06770672072315714,50.24032433894283,770.6720723157139
1.6011934730284885,18.266122752374038,30.864343409320753,21.527428146676346,0.32854188022089154,1.2680463259207668e-09,0.3723936287696123,0.0876130539430231,28.119347302848848,100.0
1.6830553507088388,18.0301634123694,32.02414317018527,9.788856113414214,0.2905120715656598,1.1706405891166376e-10,0.28600390094718986,0.05852377440722952,125.85345260943299,1500.0
1.6052225486223173,16.63581372335094,28.323636067820658,22.118009833565555,0.3040750981797954,2.77115164731766e-09,0.3763741179404426,0.11738872568884134,27.358137233509392,371.62744670187874
